127.0.0.1, 2019-11-14 20:39:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.016804
127.0.0.1, 2019-11-14 20:39:07, GET, /welcome/default/grid/auth_user, HTTP/1.1, 404, 0.009064
127.0.0.1, 2019-11-14 20:39:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2019-11-14 20:39:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.013803
127.0.0.1, 2019-11-14 20:39:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.012899
127.0.0.1, 2019-11-14 20:39:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000495
127.0.0.1, 2019-11-14 20:39:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.015704
127.0.0.1, 2019-11-14 20:39:46, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000304
127.0.0.1, 2019-11-14 20:39:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000421
127.0.0.1, 2019-11-14 20:39:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.013854
127.0.0.1, 2019-11-14 20:39:48, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000391
127.0.0.1, 2019-11-14 20:40:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.014562
127.0.0.1, 2019-11-14 20:40:01, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000382
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.020530
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001646
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000502
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003342
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002173
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.003357
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003321
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003588
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.003201
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001581
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000609
127.0.0.1, 2019-11-14 20:42:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000600
127.0.0.1, 2019-11-14 20:42:53, GET, /welcome/static/js/bootstrap.bundle.min.js.map, HTTP/1.1, 304, 0.000264
127.0.0.1, 2019-11-14 20:42:53, GET, /welcome/static/css/bootstrap.min.css.map, HTTP/1.1, 304, 0.000278
127.0.0.1, 2019-11-14 20:47:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.017804
127.0.0.1, 2019-11-14 20:47:13, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000317
127.0.0.1, 2019-11-14 20:47:13, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000719
127.0.0.1, 2019-11-14 20:47:16, GET, /, HTTP/1.1, 303, 0.000268
127.0.0.1, 2019-11-14 20:47:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.017236
127.0.0.1, 2019-11-14 20:47:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.019694
127.0.0.1, 2019-11-14 20:47:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000446
127.0.0.1, 2019-11-14 20:47:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.013623
127.0.0.1, 2019-11-14 20:47:25, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000404
127.0.0.1, 2019-11-14 21:09:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.021223
127.0.0.1, 2019-11-14 21:09:55, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000606
127.0.0.1, 2019-11-14 21:09:55, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000586
127.0.0.1, 2019-11-14 21:09:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001902
127.0.0.1, 2019-11-14 21:09:55, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001114
127.0.0.1, 2019-11-14 21:09:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002350
